,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.002996206283569336,0.44333333333333336,0.44266666666666665,0.44666666666666666,0.4586666666666666,0.4633333333333334,0.44141666666666657,0.0276436902585583
2,2,121,0.12273859977722168,0.5033333333333333,0.4953333333333334,0.49733333333333335,0.5053333333333334,0.512,0.5125,0.034095454242464636
3,3,576,1.6155993938446045,0.54,0.5393333333333332,0.53,0.5226666666666666,0.5246666666666666,0.5393333333333333,0.026538232378547334
4,4,1941,5.605343580245972,0.52,0.5253333333333334,0.5386666666666666,0.53,0.514,0.5154166666666667,0.03392444628222479
5,5,4944,14.667513370513916,0.5233333333333333,0.5086666666666666,0.524,0.5346666666666666,0.5173333333333334,0.5181666666666667,0.029823089488962524
6,6,9949,29.29663872718811,0.53,0.52,0.5033333333333333,0.5166666666666666,0.5026666666666667,0.5250833333333333,0.03358746872801753
7,7,16384,48.926100969314575,0.5366666666666666,0.534,0.5173333333333333,0.524,0.5213333333333334,0.539,0.0340624426605022
8,8,22819,68.65087628364563,0.5433333333333333,0.548,0.5306666666666666,0.514,0.5153333333333334,0.5385,0.03601272923101867
9,9,27824,84.11299562454224,0.5366666666666666,0.5373333333333333,0.5113333333333334,0.536,0.5566666666666666,0.5325833333333333,0.033382151751430826
10,10,30827,93.65708184242249,0.54,0.5286666666666667,0.5359999999999999,0.5286666666666667,0.55,0.5479999999999999,0.029157617643879384
11,11,32192,97.99111986160278,0.5333333333333333,0.5406666666666667,0.5346666666666666,0.5213333333333333,0.5293333333333334,0.524,0.026451738023132707
12,12,32647,100.16665768623352,0.5333333333333333,0.5233333333333332,0.5266666666666666,0.5193333333333334,0.5066666666666666,0.5398333333333333,0.03288405557578187
13,13,32752,100.95787262916565,0.5333333333333333,0.5333333333333334,0.5233333333333334,0.5446666666666666,0.526,0.5369166666666667,0.03493058592885801
14,14,32767,100.19015979766846,0.5333333333333333,0.5319999999999999,0.5233333333333333,0.5353333333333333,0.5253333333333334,0.53075,0.028466476385000265
15,15,32768,100.36546230316162,0.5333333333333333,0.5393333333333333,0.5293333333333333,0.5333333333333333,0.5093333333333333,0.5300833333333332,0.03250309814292922
