k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.716374269005848,11
2,"[0, 2, 3]",3,1,"0,2,3",0.716374269005848,7
2,"[0, 1, 3]",3,1,"0,1,3",0.716374269005848,7
2,"[0, 3]",2,2,"0,3",0.6929824561403509,4
2,"[0, 1]",2,2,"0,1",0.6871345029239766,4
2,"[0, 2]",2,2,"0,2",0.6871345029239766,4
2,"[0, 1, 2]",3,1,"0,1,2",0.6871345029239766,7
2,"[1, 2, 3]",3,1,"1,2,3",0.6812865497076024,7
2,"[2, 3]",2,2,"2,3",0.6812865497076024,4
2,"[1, 3]",2,2,"1,3",0.6812865497076024,4
2,"[1, 2]",2,2,"1,2",0.6081871345029239,4
