dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,6,0.6946329191126019,8,0.690714340169246
banknotes,5,1,1.0,1,0.999562363238512
transfusion,4,1,0.7134502923976608,3,0.7187134502923976
mammographic,4,2,0.8132295719844358,4,0.8108949416342413
raisin,7,2,0.8666666666666667,2,0.8481481481481483
rice,7,1,0.922782874617737,6,0.9123853211009175
diabetes,8,2,0.7733333333333333,2,0.7626666666666667
skin,4,1,1.0,3,0.9995811841845536
pure_pairwise_interaction,15,2,0.74,10,0.7373333333333333
triplet_interaction,15,4,0.6266666666666667,4,0.6106666666666667
