,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,noise_0.1_std,noise_0.2_std,noise_0.3_std,bootstrap_mean,bootstrap_std
1,1,16,0.003023862838745117,0.49,0.4866666666666667,0.48266666666666663,0.48533333333333334,0.0059628479399994345,0.0067986926847903905,0.013432961119739921,0.4830833333333333,0.036261109408780585
2,2,121,0.06606101989746094,0.74,0.7446666666666666,0.7366666666666666,0.72,0.004521553322083512,0.016599866130651633,0.013165611772087643,0.7384166666666668,0.022240634733148534
3,3,576,1.1734356880187988,0.7366666666666667,0.7346666666666667,0.7366666666666666,0.7180000000000001,0.0016329931618554898,0.005577733510227166,0.011274356350191838,0.7329166666666667,0.028139656674838403
4,4,1941,4.497828722000122,0.7366666666666667,0.7386666666666668,0.744,0.7180000000000001,0.006531972647421809,0.014204850501775014,0.01707499796648758,0.7373333333333334,0.023643180835073777
5,5,4944,17.764400959014893,0.7333333333333333,0.7453333333333333,0.7406666666666667,0.7193333333333334,0.016000000000000014,0.011813363431112885,0.012719189352225952,0.7285,0.025811280910141253
6,6,9949,36.69359827041626,0.73,0.7493333333333334,0.7453333333333333,0.7306666666666667,0.008537498983243807,0.013432961119739932,0.017307673314329555,0.7277499999999998,0.02789626119910854
7,7,16384,63.188772439956665,0.7233333333333334,0.7413333333333334,0.7233333333333334,0.7313333333333333,0.007774602526460409,0.015347819244295138,0.012036980056845196,0.7239166666666667,0.025328535729927663
8,8,22819,93.62350010871887,0.7233333333333334,0.7346666666666667,0.7426666666666667,0.7086666666666667,0.008589399151150081,0.010832051206181303,0.021457969252574757,0.7210833333333333,0.03301314973696928
9,9,27824,122.61529564857483,0.73,0.7406666666666666,0.7266666666666668,0.7173333333333334,0.014966629547095774,0.006666666666666665,0.010413666234542191,0.7360833333333333,0.029983907721012976
10,10,30827,149.81955242156982,0.73,0.7280000000000001,0.7253333333333332,0.7233333333333333,0.00956846672960489,0.02176643695641937,0.010327955589886426,0.7333333333333333,0.03132491021535417
11,11,32192,169.78780698776245,0.73,0.7366666666666666,0.7333333333333334,0.712,0.012292725943057184,0.004714045207910316,0.03317294747899926,0.73125,0.03108288650259711
12,12,32647,180.35906219482422,0.7266666666666667,0.732,0.736,0.7160000000000001,0.007483314773547889,0.014817407180595222,0.019482185594936623,0.7286666666666668,0.025462936026921776
13,13,32752,186.08322620391846,0.7266666666666667,0.7386666666666667,0.744,0.7220000000000001,0.014544949486180958,0.00853749898324382,0.008326663997864534,0.7298333333333333,0.03230024079717605
14,14,32767,186.02323985099792,0.7266666666666667,0.7406666666666666,0.7426666666666667,0.726,0.01162373051610847,0.01271918935222596,0.01083205120618125,0.72275,0.02681223290465256
15,15,32768,187.88579440116882,0.7266666666666667,0.7346666666666667,0.732,0.7293333333333334,0.00805536398239638,0.014079141387961916,0.013727506854649312,0.7278333333333333,0.026252513107214024
