,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0021524429321289062,0.48333333333333334,0.4873333333333333,0.49066666666666664,0.4953333333333333,0.4886666666666667,0.48483333333333334,0.027773388542111872
2,2,121,0.003999471664428711,0.65,0.654,0.6613333333333333,0.664,0.654,0.6505833333333334,0.03198317700152865
3,3,576,0.028241634368896484,0.67,0.6646666666666666,0.6639999999999999,0.66,0.6513333333333333,0.6668333333333334,0.02921377148614064
4,4,1941,0.15037226676940918,0.6733333333333333,0.6606666666666665,0.6586666666666667,0.658,0.6473333333333333,0.6640833333333335,0.03134585299525281
5,5,4944,0.4536621570587158,0.65,0.6539999999999999,0.6580000000000001,0.6473333333333333,0.6393333333333333,0.652,0.03037085591301122
6,6,9949,1.490670919418335,0.6533333333333333,0.6519999999999999,0.6573333333333333,0.6493333333333332,0.632,0.65125,0.03265188866410844
7,7,16384,5.020205974578857,0.6366666666666667,0.6399999999999999,0.6426666666666667,0.638,0.6273333333333333,0.6351666666666665,0.03465264139363052
8,8,22819,8.995566844940186,0.63,0.6413333333333332,0.646,0.6473333333333333,0.63,0.6280833333333333,0.03066179762070928
9,9,27824,17.621113777160645,0.6266666666666667,0.64,0.6386666666666666,0.628,0.6186666666666667,0.6229166666666667,0.03211578445423855
10,10,30827,28.76410675048828,0.63,0.638,0.6373333333333333,0.6346666666666666,0.6446666666666667,0.6329166666666667,0.03007225095961023
11,11,32192,36.85589790344238,0.6333333333333333,0.6353333333333333,0.6386666666666667,0.6366666666666667,0.618,0.6294166666666666,0.031693081088604955
12,12,32647,37.656139612197876,0.6333333333333333,0.6473333333333333,0.638,0.6359999999999999,0.6113333333333333,0.6281666666666667,0.02713853349022382
13,13,32752,51.818684577941895,0.6333333333333333,0.6366666666666666,0.6439999999999999,0.6326666666666666,0.6353333333333333,0.634,0.0333891199844101
14,14,32767,42.22378325462341,0.6333333333333333,0.6366666666666665,0.6446666666666667,0.6246666666666667,0.6333333333333333,0.6334166666666667,0.02697079181468559
15,15,32768,124.63239288330078,0.6333333333333333,0.6386666666666667,0.6460000000000001,0.638,0.6266666666666666,0.6378333333333334,0.028913664589601918
