,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.0025060176849365234,0.49666666666666665,0.4953333333333333,0.49000000000000005,0.47800000000000004,0.4826666666666667
2,2,121,0.0022754669189453125,0.71,0.7053333333333333,0.714,0.6953333333333334,0.6933333333333334
3,3,576,0.026145458221435547,0.72,0.7126666666666667,0.7046666666666667,0.6806666666666668,0.6793333333333333
4,4,1941,0.14736485481262207,0.7266666666666667,0.744,0.74,0.7013333333333334,0.6913333333333332
5,5,4944,0.75447678565979,0.7133333333333334,0.7206666666666666,0.7173333333333333,0.7093333333333334,0.6993333333333333
6,6,9949,2.644113063812256,0.7166666666666667,0.7086666666666666,0.71,0.7026666666666668,0.6786666666666668
7,7,16384,8.63975739479065,0.7133333333333334,0.7033333333333334,0.7,0.6953333333333334,0.6813333333333332
8,8,22819,19.578757762908936,0.7066666666666667,0.7,0.6966666666666667,0.69,0.6833333333333333
9,9,27824,37.333433389663696,0.7033333333333334,0.6993333333333334,0.7026666666666667,0.6893333333333332,0.6846666666666666
10,10,30827,60.58751821517944,0.7033333333333334,0.6913333333333334,0.6953333333333334,0.6926666666666665,0.6846666666666665
11,11,32192,79.08788108825684,0.7033333333333334,0.6966666666666665,0.6826666666666666,0.6859999999999999,0.6739999999999999
12,12,32647,91.18810153007507,0.7066666666666667,0.6926666666666665,0.6933333333333332,0.6846666666666665,0.6806666666666666
13,13,32752,74.01307606697083,0.7066666666666667,0.6893333333333332,0.7033333333333333,0.7,0.6606666666666666
14,14,32767,76.01450991630554,0.7066666666666667,0.6940000000000001,0.6940000000000001,0.7013333333333334,0.6766666666666666
15,15,32768,75.8111743927002,0.7066666666666667,0.6993333333333334,0.6973333333333332,0.6886666666666666,0.6913333333333334
