dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,5,0.69505222230693,2,0.6871845696424487
banknotes,5,1,1.0,5,1.0
transfusion,4,2,0.7280701754385965,2,0.7187134502923975
mammographic,4,2,0.8171206225680934,4,0.8140077821011673
raisin,7,1,0.8592592592592593,1,0.7844444444444445
rice,7,2,0.926605504587156,5,0.8672782874617736
diabetes,8,5,0.7933333333333333,5,0.75
skin,4,1,1.0,1,0.9996000652254139
pure_pairwise_interaction,15,2,0.78,4,0.7573333333333334
triplet_interaction,15,3,0.6166666666666667,3,0.5933333333333334
