dataset,accuracy_eff,noise_eff
banknotes,0.8304820237218405,0.6160483210529383
dados_covid_sbpo_atual,0.26801988070120886,0.3930839011746712
diabetes,0.3361816276051185,0.3178187655930742
mammographic,0.6179917550912226,0.5752813530152479
pure_pairwise_interaction,0.3683987033690065,0.23017450348881074
raisin,0.6845200988358653,0.6249196419544667
rice,0.5823808162755036,0.4102656234923976
skin,0.8502741537276025,0.8499340995255951
transfusion,0.5506425283145727,0.5435659978302086
triplet_interaction,0.22279244112858695,0.21436245686966746
