,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0054857730865478516,0.5,0.4986666666666667,0.4986666666666667,0.506,0.49733333333333335,0.4959166666666667,0.0338859402178019
2,2,121,0.330920934677124,0.7333333333333333,0.7266666666666666,0.7346666666666667,0.7153333333333333,0.6826666666666666,0.7320833333333334,0.029169642705311895
3,3,576,1.5341095924377441,0.6933333333333334,0.684,0.674,0.6713333333333333,0.6686666666666666,0.6927499999999999,0.03383795124478497
4,4,1941,5.2317798137664795,0.6833333333333333,0.6866666666666665,0.6853333333333333,0.6813333333333332,0.672,0.6859166666666668,0.03335301502279983
5,5,4944,13.326705932617188,0.66,0.6626666666666666,0.6606666666666665,0.662,0.652,0.6680833333333334,0.03188096349443244
6,6,9949,27.731065034866333,0.6566666666666666,0.658,0.6633333333333333,0.6439999999999999,0.6586666666666666,0.655,0.02720804619552418
7,7,16384,48.565711975097656,0.6466666666666666,0.6506666666666667,0.65,0.6513333333333333,0.6466666666666667,0.6430833333333332,0.03187007042491259
8,8,22819,69.50585389137268,0.64,0.6413333333333333,0.6486666666666666,0.638,0.6373333333333333,0.6420833333333333,0.028930592228066584
9,9,27824,90.1444742679596,0.6266666666666667,0.6413333333333332,0.6479999999999999,0.6453333333333333,0.6413333333333333,0.6269166666666667,0.02862848717235645
10,10,30827,109.60424375534058,0.6333333333333333,0.6359999999999999,0.6453333333333333,0.642,0.6346666666666667,0.62875,0.03029083561445974
11,11,32192,120.6540219783783,0.63,0.6279999999999999,0.6493333333333333,0.6466666666666666,0.6326666666666667,0.6293333333333333,0.030832882879592474
12,12,32647,124.52475881576538,0.63,0.6333333333333333,0.6479999999999999,0.6453333333333333,0.648,0.6302500000000001,0.03106679631589542
13,13,32752,129.45236682891846,0.63,0.6406666666666666,0.6453333333333333,0.6539999999999999,0.6479999999999999,0.6245833333333334,0.027274963081755234
14,14,32767,126.98682880401611,0.63,0.6373333333333334,0.6473333333333333,0.6493333333333333,0.6653333333333334,0.6259166666666667,0.028434744982542445
15,15,32768,149.4727909564972,0.63,0.6306666666666667,0.6413333333333333,0.6573333333333332,0.6546666666666667,0.6310833333333332,0.02937083303778314
