,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0,0.5,0.49733333333333335,0.4846666666666666,0.5013333333333334,0.4946666666666667,0.4933333333333333,0.032627953250753156
2,2,121,0.32640743255615234,0.7333333333333333,0.736,0.7233333333333334,0.7233333333333334,0.6846666666666665,0.7345833333333335,0.02914582588753777
3,3,576,1.5238862037658691,0.6933333333333334,0.688,0.6826666666666666,0.6786666666666666,0.6713333333333333,0.6943333333333334,0.02535525367431548
4,4,1941,5.114879369735718,0.6833333333333333,0.6880000000000001,0.6946666666666668,0.6713333333333333,0.6653333333333333,0.6800000000000002,0.03181980515339464
5,5,4944,13.208327770233154,0.66,0.6626666666666667,0.65,0.6653333333333333,0.6459999999999999,0.6593333333333332,0.027010286106510517
6,6,9949,27.900346279144287,0.6566666666666666,0.6599999999999999,0.6613333333333333,0.6506666666666666,0.6513333333333333,0.6585,0.03008044769170388
7,7,16384,48.03647589683533,0.6466666666666666,0.6506666666666667,0.6533333333333333,0.644,0.6493333333333333,0.6502500000000001,0.025033449844380436
8,8,22819,69.5298171043396,0.64,0.65,0.6579999999999999,0.6446666666666666,0.6360000000000001,0.6358333333333334,0.034691097160831075
9,9,27824,89.72797179222107,0.6266666666666667,0.6380000000000001,0.6506666666666667,0.6446666666666667,0.6326666666666666,0.6245833333333333,0.03265188866410844
10,10,30827,109.1536796092987,0.6333333333333333,0.6406666666666666,0.6473333333333333,0.6479999999999999,0.646,0.6326666666666667,0.02682712143418382
11,11,32192,120.61869978904724,0.63,0.6313333333333334,0.65,0.65,0.6486666666666667,0.6295833333333332,0.03216979691159603
12,12,32647,124.94454884529114,0.63,0.6313333333333333,0.6406666666666666,0.6553333333333333,0.6446666666666667,0.6355833333333334,0.031037723463195204
13,13,32752,129.2174825668335,0.63,0.64,0.6506666666666666,0.6526666666666667,0.6413333333333334,0.6276666666666667,0.027294179273651412
14,14,32767,128.6289565563202,0.63,0.64,0.64,0.6446666666666666,0.6506666666666666,0.6325,0.032328607902118035
15,15,32768,156.33185648918152,0.63,0.6379999999999999,0.65,0.6526666666666666,0.644,0.6346666666666667,0.026106618998935037
