,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.01399850845336914,0.43333333333333335,0.4346666666666666,0.43466666666666665,0.43666666666666665,0.438,0.43333333333333335,0.029545163168726397
2,2,121,0.09395408630371094,0.44,0.43866666666666665,0.44000000000000006,0.43866666666666665,0.4373333333333333,0.43375,0.03024494907326584
3,3,576,0.018094778060913086,0.44,0.4413333333333333,0.44066666666666665,0.43866666666666665,0.44666666666666666,0.4380833333333334,0.03074322418571828
4,4,1941,0.030879974365234375,0.44,0.43599999999999994,0.4413333333333333,0.434,0.43866666666666665,0.4388333333333334,0.03613670033513175
5,5,4944,0.0530550479888916,0.43333333333333335,0.43533333333333335,0.4373333333333333,0.44399999999999995,0.44266666666666665,0.43641666666666673,0.03201356049482087
6,6,9949,0.09155392646789551,0.43,0.4346666666666666,0.43200000000000005,0.43600000000000005,0.4366666666666667,0.4335833333333333,0.03022381787045883
7,7,16384,0.1459953784942627,0.43333333333333335,0.43466666666666665,0.438,0.43866666666666665,0.44333333333333336,0.4330000000000001,0.030044411571316657
8,8,22819,0.19689202308654785,0.43333333333333335,0.43599999999999994,0.4373333333333334,0.442,0.438,0.42924999999999996,0.026040699982058
9,9,27824,0.23422503471374512,0.43333333333333335,0.43600000000000005,0.43600000000000005,0.4366666666666667,0.4413333333333334,0.4408333333333333,0.028074800879871693
10,10,30827,0.26056694984436035,0.43333333333333335,0.43599999999999994,0.43866666666666665,0.44066666666666665,0.44266666666666665,0.42524999999999996,0.03163825479805525
11,11,32192,0.3093094825744629,0.43333333333333335,0.4366666666666667,0.438,0.4373333333333333,0.4413333333333333,0.43149999999999994,0.03437093410297589
12,12,32647,0.32847118377685547,0.43333333333333335,0.43466666666666665,0.43600000000000005,0.43533333333333324,0.43466666666666665,0.43683333333333335,0.02733993822637905
13,13,32752,0.2826058864593506,0.43333333333333335,0.434,0.43933333333333335,0.4373333333333333,0.44800000000000006,0.43916666666666665,0.03032234233110042
14,14,32767,0.2975790500640869,0.43333333333333335,0.438,0.4373333333333333,0.43533333333333335,0.45133333333333325,0.43575,0.03283047787921732
15,15,32768,0.2892584800720215,0.43333333333333335,0.43599999999999994,0.43533333333333335,0.43933333333333335,0.4373333333333333,0.43316666666666664,0.03666628787683131
