,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.013046503067016602,0.43666666666666665,0.4373333333333333,0.4373333333333333,0.4373333333333333,0.44066666666666665,0.44183333333333336,0.027838322906062828
2,2,121,0.01503896713256836,0.43333333333333335,0.43599999999999994,0.4333333333333334,0.43600000000000005,0.4373333333333333,0.4316666666666667,0.03518798721786235
3,3,576,0.017099857330322266,0.43666666666666665,0.43599999999999994,0.4366666666666667,0.43466666666666665,0.4366666666666667,0.42933333333333346,0.03413575837739657
4,4,1941,0.031572818756103516,0.43666666666666665,0.43599999999999994,0.4373333333333333,0.43599999999999994,0.4413333333333333,0.43233333333333335,0.030179555257749506
5,5,4944,0.052860260009765625,0.43666666666666665,0.434,0.43266666666666664,0.43599999999999994,0.438,0.4385,0.03160696125855822
6,6,9949,0.09082627296447754,0.43666666666666665,0.4333333333333334,0.434,0.43533333333333324,0.43600000000000005,0.4435833333333333,0.031701844495935
7,7,16384,0.14461135864257812,0.43666666666666665,0.43600000000000005,0.43533333333333335,0.4379999999999999,0.43533333333333335,0.43233333333333335,0.02555712555563842
8,8,22819,0.2015080451965332,0.43666666666666665,0.434,0.43533333333333324,0.4373333333333333,0.438,0.43616666666666665,0.024028917763579963
9,9,27824,0.24784231185913086,0.43666666666666665,0.43466666666666665,0.43599999999999994,0.43599999999999994,0.438,0.4453333333333333,0.027292652653944958
10,10,30827,0.2705256938934326,0.43666666666666665,0.434,0.43600000000000005,0.4373333333333333,0.43666666666666665,0.43725,0.03190056164604838
11,11,32192,0.2762460708618164,0.43666666666666665,0.4333333333333333,0.438,0.4373333333333333,0.43666666666666665,0.44016666666666665,0.03061590000854676
12,12,32647,0.28260278701782227,0.43333333333333335,0.4333333333333333,0.43266666666666664,0.4366666666666667,0.4373333333333333,0.43324999999999997,0.03184696479519935
13,13,32752,0.28922605514526367,0.43333333333333335,0.434,0.4333333333333333,0.43600000000000005,0.43533333333333335,0.43233333333333335,0.03674763786815269
14,14,32767,0.31612324714660645,0.44333333333333336,0.44400000000000006,0.44666666666666666,0.44733333333333336,0.4453333333333333,0.4420833333333333,0.035738731712869225
15,15,32768,0.3183739185333252,0.44666666666666666,0.44266666666666665,0.44266666666666665,0.43933333333333324,0.44266666666666665,0.4414166666666667,0.031911444307297934
