,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,106.89773631095886,0.5433333333333333,0.554,0.5526666666666666,0.5539999999999999,0.5539999999999999,0.5431666666666666,0.033548886386552054
2,2,121,183.47738242149353,0.54,0.55,0.5373333333333334,0.54,0.5126666666666667,0.5449166666666667,0.028871001406640236
3,3,576,236.78852677345276,0.5433333333333333,0.5513333333333333,0.5466666666666666,0.5186666666666666,0.5293333333333333,0.5484166666666667,0.03269057373481094
4,4,1941,180.50894331932068,0.5433333333333333,0.5306666666666667,0.5359999999999999,0.5246666666666666,0.5346666666666666,0.5490833333333334,0.03453349822997954
5,5,4944,107.48717284202576,0.5333333333333333,0.542,0.5206666666666667,0.5246666666666666,0.5333333333333332,0.535,0.028674417556808753
6,6,9949,106.1537778377533,0.5366666666666666,0.534,0.5433333333333333,0.516,0.5173333333333333,0.5335833333333333,0.025281883061020416
7,7,16384,106.97233176231384,0.53,0.536,0.5286666666666667,0.5280000000000001,0.5466666666666666,0.5318333333333334,0.03031959395799649
8,8,22819,107.3506989479065,0.53,0.5306666666666666,0.5433333333333333,0.5353333333333333,0.516,0.5339166666666667,0.03143567064480873
9,9,27824,106.25952911376953,0.54,0.5413333333333333,0.5353333333333333,0.5319999999999999,0.538,0.55725,0.02942516402295453
10,10,30827,105.8632435798645,0.54,0.5326666666666667,0.548,0.5333333333333334,0.538,0.54275,0.031752187151263905
11,11,32192,106.85084772109985,0.5466666666666666,0.5433333333333333,0.5439999999999999,0.5399999999999999,0.54,0.5535833333333333,0.036467356026390986
12,12,32647,107.25501132011414,0.5466666666666666,0.5466666666666666,0.538,0.5239999999999999,0.5286666666666667,0.5491666666666667,0.02512468905280223
13,13,32752,107.49293541908264,0.5466666666666666,0.5426666666666666,0.5373333333333333,0.55,0.5233333333333333,0.54525,0.024424060314006398
14,14,32767,107.35701704025269,0.5466666666666666,0.5486666666666666,0.546,0.5353333333333333,0.538,0.5474166666666666,0.025952547509295154
15,15,32768,107.41679549217224,0.5466666666666666,0.5626666666666666,0.5353333333333332,0.5206666666666666,0.53,0.5524166666666667,0.0288806211459826
