,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,108.03225922584534,0.5266666666666666,0.548,0.55,0.5506666666666667,0.5433333333333333,0.52975,0.027398930433301386
2,2,121,106.57646417617798,0.52,0.5153333333333333,0.5266666666666667,0.5373333333333333,0.534,0.5145833333333334,0.030802349297127034
3,3,576,108.97188949584961,0.5133333333333333,0.5193333333333333,0.5253333333333334,0.5053333333333334,0.5153333333333333,0.5168333333333333,0.02986032298701554
4,4,1941,115.94255638122559,0.52,0.5253333333333333,0.5006666666666667,0.5286666666666667,0.5193333333333333,0.5162499999999999,0.03092609919002252
5,5,4944,120.57468247413635,0.5366666666666666,0.518,0.5073333333333332,0.5353333333333333,0.5166666666666666,0.5336666666666666,0.02935463241882692
6,6,9949,119.15803337097168,0.52,0.5246666666666667,0.508,0.5126666666666667,0.522,0.5204166666666666,0.03175699835381871
7,7,16384,117.98528933525085,0.5233333333333333,0.518,0.512,0.526,0.5153333333333333,0.521,0.033332916664062476
8,8,22819,118.16201162338257,0.52,0.526,0.5219999999999999,0.5199999999999999,0.52,0.5189166666666667,0.03761288564663269
9,9,27824,118.53716850280762,0.54,0.5273333333333333,0.5313333333333333,0.5153333333333332,0.5146666666666666,0.5491666666666667,0.029011491975882014
10,10,30827,118.51668930053711,0.5333333333333333,0.538,0.524,0.5246666666666667,0.5426666666666666,0.5363333333333333,0.03256446597818617
11,11,32192,117.0982780456543,0.53,0.53,0.5273333333333333,0.5273333333333333,0.522,0.5314166666666668,0.03367749413348788
12,12,32647,116.9300103187561,0.5266666666666666,0.5279999999999999,0.526,0.5186666666666666,0.5279999999999999,0.5244166666666666,0.029814356161643556
13,13,32752,119.62921333312988,0.5266666666666666,0.5273333333333333,0.5213333333333334,0.5373333333333334,0.5286666666666666,0.5320833333333334,0.027211236445426154
14,14,32767,120.20372438430786,0.5266666666666666,0.526,0.5266666666666666,0.52,0.5199999999999999,0.5275833333333334,0.03269057373481095
15,15,32768,117.98273587226868,0.5266666666666666,0.5306666666666666,0.5226666666666666,0.518,0.5313333333333332,0.5235,0.03492810075315035
