,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0,0.43,0.43,0.43,0.43,0.43,0.43116666666666675,0.02735111210414182
2,2,121,0.34395551681518555,0.43,0.43066666666666664,0.4293333333333333,0.4293333333333333,0.43,0.4312500000000001,0.02704484444605129
3,3,576,1.5696303844451904,0.43,0.43200000000000005,0.43666666666666665,0.42466666666666664,0.43066666666666664,0.4281666666666667,0.02876581690517796
4,4,1941,5.138281583786011,0.43,0.43066666666666664,0.43133333333333335,0.43600000000000005,0.43133333333333335,0.43125,0.030847406698132667
5,5,4944,13.439705848693848,0.43,0.42733333333333334,0.43466666666666665,0.42733333333333334,0.43133333333333335,0.42674999999999996,0.0272983770376352
6,6,9949,26.758005380630493,0.43,0.43066666666666664,0.43533333333333324,0.4373333333333334,0.438,0.43133333333333335,0.029323862107316096
7,7,16384,44.19881772994995,0.43,0.43200000000000005,0.42333333333333334,0.446,0.434,0.43375,0.03107171364583693
8,8,22819,61.202921867370605,0.43,0.43666666666666665,0.45200000000000007,0.44466666666666665,0.43133333333333335,0.4303333333333334,0.03174376579214676
9,9,27824,75.0540702342987,0.58,0.58,0.5773333333333334,0.5840000000000001,0.58,0.5748333333333333,0.029778814243985225
10,10,30827,83.47852754592896,0.5833333333333334,0.5833333333333334,0.5846666666666667,0.5853333333333334,0.5853333333333334,0.5809166666666666,0.032372506338970215
11,11,32192,88.12466979026794,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.588,0.586,0.028550150807151814
12,12,32647,88.44238209724426,0.43333333333333335,0.434,0.43599999999999994,0.434,0.4413333333333333,0.4305833333333334,0.030352214819423712
13,13,32752,88.53763318061829,0.43333333333333335,0.4333333333333334,0.43466666666666665,0.438,0.43266666666666664,0.4319166666666667,0.029646177381465785
14,14,32767,89.31166172027588,0.43333333333333335,0.4333333333333334,0.43533333333333335,0.44399999999999995,0.44266666666666665,0.4294166666666666,0.03221466625967468
15,15,32768,89.05020809173584,0.43333333333333335,0.434,0.4333333333333333,0.44066666666666665,0.4333333333333334,0.43075,0.02886619033479209
