,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0029993057250976562,0.48333333333333334,0.4846666666666667,0.48133333333333334,0.504,0.5026666666666666,0.4838333333333334,0.03518443468985177
2,2,121,0.022600173950195312,0.7,0.688,0.6799999999999999,0.6733333333333333,0.6586666666666667,0.7004166666666667,0.025512115858069385
3,3,576,0.1319749355316162,0.7066666666666667,0.7040000000000001,0.7006666666666665,0.692,0.676,0.7055833333333333,0.02765875891005315
4,4,1941,0.5246472358703613,0.6966666666666667,0.6893333333333334,0.6886666666666666,0.6873333333333334,0.6679999999999999,0.7010833333333334,0.026441891216611408
5,5,4944,1.5580387115478516,0.6733333333333333,0.672,0.6566666666666666,0.6733333333333333,0.6766666666666666,0.67125,0.034016438019809705
6,6,9949,3.4506125450134277,0.6666666666666666,0.6586666666666667,0.6566666666666666,0.6526666666666667,0.6593333333333333,0.6641666666666666,0.034054694569504246
7,7,16384,6.384934186935425,0.6466666666666666,0.646,0.6439999999999999,0.6626666666666667,0.6333333333333333,0.64375,0.029050363355922263
8,8,22819,9.40968108177185,0.62,0.626,0.6353333333333333,0.6473333333333333,0.6399999999999999,0.6182500000000001,0.032370361100515666
9,9,27824,11.501418828964233,0.6133333333333333,0.6286666666666666,0.6413333333333333,0.6486666666666667,0.6459999999999999,0.61925,0.027001671758944443
10,10,30827,13.52825379371643,0.62,0.6253333333333334,0.6359999999999999,0.6306666666666667,0.6300000000000001,0.61925,0.03415538431606029
11,11,32192,14.350038766860962,0.6233333333333333,0.634,0.6366666666666667,0.6333333333333334,0.6266666666666666,0.6179166666666667,0.03275805668500159
12,12,32647,14.502802848815918,0.6266666666666667,0.634,0.6413333333333333,0.6426666666666667,0.6226666666666667,0.6409166666666667,0.026844330044826142
13,13,32752,14.293206214904785,0.6266666666666667,0.624,0.632,0.6380000000000001,0.6286666666666667,0.6226666666666667,0.029061238025169467
14,14,32767,15.09235167503357,0.6266666666666667,0.6206666666666667,0.62,0.6426666666666666,0.6293333333333333,0.6310833333333332,0.02946525731923766
15,15,32768,15.355859518051147,0.6266666666666667,0.6266666666666667,0.6333333333333334,0.6346666666666667,0.6286666666666666,0.6255833333333333,0.03176530689639599
