,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0,0.5,0.4973333333333333,0.496,0.4993333333333333,0.5086666666666666,0.5044166666666665,0.03592439978621773
2,2,121,0.3425414562225342,0.7233333333333334,0.7153333333333334,0.72,0.7046666666666667,0.7,0.7223333333333334,0.02696139215001084
3,3,576,1.6590406894683838,0.72,0.7086666666666667,0.7,0.7026666666666668,0.6846666666666666,0.7185000000000001,0.024582062114024892
4,4,1941,5.577136278152466,0.6766666666666666,0.6759999999999999,0.6893333333333332,0.6766666666666666,0.6706666666666667,0.6779166666666667,0.027953955196199174
5,5,4944,34.8834171295166,0.67,0.664,0.6613333333333333,0.6573333333333333,0.652,0.6695,0.02825282680055611
6,6,9949,63.01211166381836,0.6633333333333333,0.654,0.6599999999999999,0.6553333333333333,0.6613333333333333,0.6639166666666667,0.030283498440202995
7,7,16384,134.8194797039032,0.64,0.6486666666666666,0.6413333333333333,0.6399999999999999,0.6593333333333333,0.6378333333333334,0.03488911004883902
8,8,22819,201.36819195747375,0.63,0.6373333333333333,0.6326666666666666,0.6466666666666667,0.6466666666666667,0.637,0.028597299794833
9,9,27824,239.8709692955017,0.63,0.6253333333333333,0.6333333333333334,0.6386666666666667,0.634,0.6280833333333333,0.03315378728156273
10,10,30827,167.6887354850769,0.6266666666666667,0.6246666666666666,0.622,0.6273333333333333,0.628,0.6409166666666667,0.026163083618802357
11,11,32192,101.26305484771729,0.6266666666666667,0.632,0.6246666666666667,0.6359999999999999,0.6353333333333333,0.6195833333333334,0.029133910177355567
12,12,32647,102.64230036735535,0.6233333333333333,0.6273333333333333,0.6353333333333333,0.6359999999999999,0.6413333333333334,0.627,0.02826265694830863
13,13,32752,101.09327435493469,0.6233333333333333,0.6239999999999999,0.626,0.6293333333333333,0.6273333333333333,0.6261666666666666,0.034116222924976125
14,14,32767,100.37530875205994,0.6233333333333333,0.626,0.618,0.6313333333333333,0.6246666666666667,0.6234166666666666,0.030775734488933542
15,15,32768,101.43532276153564,0.6233333333333333,0.6286666666666667,0.6300000000000001,0.6326666666666666,0.6306666666666667,0.6209166666666667,0.03151818258296841
