,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0,0.5,0.496,0.504,0.51,0.502,0.5064166666666666,0.033481026965531784
2,2,121,0.34900426864624023,0.7233333333333334,0.7226666666666667,0.728,0.7126666666666666,0.6973333333333332,0.7174166666666667,0.025106578376548602
3,3,576,1.669795036315918,0.72,0.7086666666666667,0.7106666666666667,0.6993333333333334,0.692,0.7195833333333332,0.03140517031035212
4,4,1941,5.494124174118042,0.6766666666666666,0.6726666666666666,0.682,0.6773333333333333,0.6533333333333333,0.6846666666666664,0.029349900624476857
5,5,4944,14.702599048614502,0.67,0.6766666666666666,0.674,0.6786666666666668,0.6633333333333333,0.6605000000000001,0.028348525338875892
6,6,9949,30.580032348632812,0.6633333333333333,0.6519999999999999,0.6539999999999999,0.6586666666666666,0.658,0.6665000000000001,0.0269510873827219
7,7,16384,49.07850122451782,0.64,0.6433333333333333,0.6453333333333333,0.6506666666666667,0.64,0.6415000000000001,0.03320767983464065
8,8,22819,69.02617645263672,0.63,0.6346666666666667,0.64,0.624,0.6313333333333333,0.6294166666666666,0.03139588171860903
9,9,27824,86.31008529663086,0.63,0.6293333333333333,0.6313333333333333,0.6526666666666666,0.6466666666666667,0.6348333333333334,0.0229092412212481
10,10,30827,95.68256306648254,0.6266666666666667,0.6260000000000001,0.6286666666666667,0.6373333333333333,0.6253333333333333,0.6305000000000001,0.031085008891389706
11,11,32192,100.85349082946777,0.6266666666666667,0.622,0.6300000000000001,0.638,0.616,0.6189166666666668,0.027287181565302368
12,12,32647,102.25953316688538,0.6233333333333333,0.628,0.638,0.6326666666666666,0.6186666666666667,0.6259166666666667,0.02791716417467139
13,13,32752,102.54837226867676,0.6233333333333333,0.6253333333333333,0.6206666666666666,0.6386666666666667,0.6273333333333333,0.62225,0.031486438879831005
14,14,32767,102.83548521995544,0.6233333333333333,0.6279999999999999,0.6266666666666667,0.6199999999999999,0.626,0.6235,0.03355923452974192
15,15,32768,103.39148569107056,0.6233333333333333,0.6219999999999999,0.6233333333333333,0.6266666666666667,0.6399999999999999,0.6173333333333333,0.03014271609084579
