,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0030052661895751953,0.4666666666666667,0.472,0.48200000000000004,0.47800000000000004,0.48200000000000004,0.46624999999999994,0.029442151378215854
2,2,121,0.3619811534881592,0.6666666666666666,0.6773333333333333,0.6679999999999999,0.6446666666666666,0.6193333333333333,0.6651666666666667,0.03243326481664568
3,3,576,3.851919412612915,0.6766666666666666,0.6526666666666665,0.6573333333333333,0.6226666666666667,0.5886666666666666,0.6729999999999999,0.03903559629079307
4,4,1941,13.6685152053833,0.6833333333333333,0.6573333333333334,0.6246666666666666,0.554,0.528,0.6763333333333332,0.02850974492266733
5,5,4944,32.75103282928467,0.66,0.6206666666666667,0.5693333333333334,0.506,0.47800000000000004,0.6539999999999999,0.029201883500897675
6,6,9949,66.69919943809509,0.66,0.578,0.5119999999999999,0.4779999999999999,0.454,0.6606666666666667,0.02866424408368183
7,7,16384,110.20504665374756,0.66,0.562,0.5106666666666666,0.4840000000000001,0.45999999999999996,0.6577500000000001,0.029650861894911434
8,8,22819,154.68444895744324,0.66,0.5519999999999999,0.506,0.466,0.4646666666666667,0.6620833333333335,0.02873792016753397
9,9,27824,189.9220907688141,0.66,0.554,0.5133333333333334,0.47733333333333333,0.4533333333333333,0.6556666666666667,0.03275286247032464
10,10,30827,213.07167887687683,0.66,0.5519999999999999,0.5039999999999999,0.4753333333333333,0.4613333333333333,0.6629999999999998,0.03099775977568558
11,11,32192,220.89044332504272,0.66,0.558,0.492,0.45999999999999996,0.442,0.66875,0.029559849834229917
12,12,32647,224.55377912521362,0.66,0.5573333333333335,0.4993333333333333,0.4746666666666667,0.45600000000000007,0.6576666666666666,0.031395328739585865
13,13,32752,209.37257194519043,0.66,0.5546666666666666,0.49733333333333335,0.4613333333333333,0.45533333333333337,0.6581666666666667,0.030572772926976133
14,14,32767,104.7236967086792,0.66,0.5613333333333334,0.5053333333333333,0.47333333333333333,0.4573333333333333,0.6658333333333333,0.025481474752367752
15,15,32768,101.25461316108704,0.66,0.5573333333333333,0.5066666666666666,0.4720000000000001,0.46066666666666667,0.6581666666666668,0.025371681501670757
