,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.008508443832397461,0.49333333333333335,0.496,0.49800000000000005,0.49466666666666664,0.5046666666666667,0.49166666666666664,0.02772634126602354
2,2,121,0.805976390838623,0.7366666666666667,0.732,0.7286666666666666,0.708,0.7013333333333334,0.7334166666666667,0.027086410081646313
3,3,576,3.9466934204101562,0.7166666666666667,0.7113333333333334,0.718,0.7033333333333334,0.6973333333333332,0.7120000000000001,0.028597299794832994
4,4,1941,12.915847539901733,0.69,0.696,0.6846666666666665,0.6859999999999999,0.6813333333333332,0.6899166666666666,0.028297649097485895
5,5,4944,34.515031814575195,0.68,0.6780000000000002,0.6893333333333332,0.6839999999999999,0.6726666666666666,0.6773333333333333,0.026992282847757305
6,6,9949,70.45240068435669,0.6666666666666666,0.678,0.6813333333333333,0.6766666666666665,0.6586666666666667,0.6626666666666666,0.02641758673476608
7,7,16384,124.77194380760193,0.6566666666666666,0.6593333333333333,0.6606666666666665,0.6519999999999999,0.6473333333333333,0.6638333333333334,0.026186298368082162
8,8,22819,71.60827684402466,0.66,0.6553333333333333,0.6526666666666666,0.652,0.6546666666666667,0.664,0.03370377492869967
9,9,27824,86.08849048614502,0.6533333333333333,0.6519999999999999,0.6526666666666666,0.6433333333333333,0.6353333333333333,0.657,0.03152864658616915
10,10,30827,95.63066577911377,0.65,0.648,0.6493333333333333,0.6453333333333334,0.6393333333333333,0.6493333333333333,0.02784331158465171
11,11,32192,97.86841535568237,0.6466666666666666,0.6466666666666666,0.6406666666666667,0.6373333333333333,0.6373333333333333,0.6455833333333334,0.03516242075473948
12,12,32647,99.90618562698364,0.6466666666666666,0.6433333333333333,0.646,0.6506666666666666,0.6333333333333333,0.6503333333333333,0.025287788005719722
13,13,32752,100.60665035247803,0.6466666666666666,0.6513333333333333,0.6393333333333333,0.6273333333333334,0.6346666666666667,0.6445833333333333,0.028568266194036584
14,14,32767,100.64592909812927,0.6466666666666666,0.6539999999999999,0.6393333333333333,0.6533333333333333,0.6253333333333333,0.6471666666666667,0.0350043648072002
15,15,32768,100.08020162582397,0.6466666666666666,0.6513333333333333,0.6453333333333333,0.6526666666666667,0.6346666666666667,0.6555833333333334,0.025948801085556486
