,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.002998828887939453,0.5,0.4926666666666667,0.496,0.5133333333333333,0.516,0.502,0.0384078984932353
2,2,121,0.35137367248535156,0.7233333333333334,0.7226666666666668,0.7186666666666667,0.72,0.7093333333333333,0.7213333333333333,0.024161493699226818
3,3,576,1.645674228668213,0.72,0.7220000000000001,0.716,0.7066666666666667,0.6953333333333334,0.71725,0.033145407759681514
4,4,1941,5.586328744888306,0.6766666666666666,0.678,0.6799999999999999,0.6793333333333333,0.6753333333333333,0.6738333333333333,0.027839320713296468
5,5,4944,14.889357328414917,0.67,0.6666666666666667,0.6706666666666666,0.6799999999999999,0.6759999999999999,0.6653333333333334,0.02811731376453543
6,6,9949,29.828482627868652,0.6633333333333333,0.6533333333333333,0.6513333333333333,0.6646666666666666,0.6519999999999999,0.6678333333333335,0.022221111083331937
7,7,16384,50.1244957447052,0.64,0.648,0.6493333333333333,0.652,0.646,0.6423333333333333,0.026092250871773318
8,8,22819,69.33310508728027,0.63,0.642,0.6433333333333333,0.6446666666666666,0.6333333333333333,0.6395000000000001,0.030244834269673223
9,9,27824,86.38042974472046,0.63,0.626,0.6386666666666667,0.6346666666666667,0.6333333333333334,0.6245833333333333,0.029886939734048823
10,10,30827,95.90928244590759,0.6266666666666667,0.624,0.6279999999999999,0.636,0.6366666666666667,0.6186666666666667,0.03431107692859552
11,11,32192,241.35473823547363,0.6266666666666667,0.626,0.6173333333333334,0.6206666666666667,0.6213333333333334,0.6232500000000001,0.03072153153734364
12,12,32647,225.16902375221252,0.6233333333333333,0.624,0.6306666666666667,0.6493333333333333,0.6280000000000001,0.6185833333333334,0.03501200191045605
13,13,32752,102.51001405715942,0.6233333333333333,0.6226666666666667,0.6373333333333333,0.626,0.6293333333333333,0.6270833333333333,0.024808292744340328
14,14,32767,101.72153759002686,0.6233333333333333,0.6253333333333334,0.6346666666666667,0.632,0.632,0.6235833333333334,0.027883811512138087
15,15,32768,102.15452241897583,0.6233333333333333,0.624,0.6253333333333333,0.6346666666666667,0.6306666666666667,0.6251666666666666,0.027537348375534555
