,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0029985904693603516,0.51,0.5146666666666667,0.5173333333333334,0.51,0.504,0.5100000000000001,0.028650189062785138
2,2,121,0.35463404655456543,0.7466666666666667,0.7513333333333334,0.7580000000000001,0.734,0.7433333333333333,0.74725,0.030030193139572045
3,3,576,1.605818748474121,0.75,0.7446666666666666,0.7493333333333333,0.7366666666666667,0.6993333333333334,0.7470833333333333,0.028906578451587412
4,4,1941,5.477626800537109,0.73,0.7353333333333334,0.7273333333333334,0.714,0.6833333333333333,0.7306666666666669,0.02634915136731689
5,5,4944,14.247650146484375,0.7366666666666667,0.7306666666666667,0.7273333333333334,0.7193333333333334,0.6966666666666668,0.7361666666666666,0.026685410079500576
6,6,9949,29.229647874832153,0.7166666666666667,0.72,0.7193333333333334,0.7026666666666667,0.6933333333333332,0.7191666666666667,0.027028791233711432
7,7,16384,49.18017244338989,0.7333333333333333,0.7246666666666666,0.7213333333333334,0.7013333333333333,0.6786666666666668,0.7354166666666664,0.023997250999969882
8,8,22819,76.50987339019775,0.73,0.728,0.7193333333333334,0.6953333333333334,0.6966666666666667,0.72875,0.02560720927134908
9,9,27824,91.40066385269165,0.7333333333333333,0.7333333333333334,0.7260000000000001,0.7033333333333334,0.6853333333333333,0.7366666666666667,0.032210246816812824
10,10,30827,155.86094760894775,0.7266666666666667,0.7266666666666668,0.724,0.6833333333333333,0.6766666666666667,0.7347500000000001,0.031706225291292904
11,11,32192,220.54931044578552,0.7266666666666667,0.7266666666666668,0.712,0.7066666666666667,0.6799999999999999,0.7233333333333334,0.03245723682358408
12,12,32647,223.43732047080994,0.7266666666666667,0.7193333333333334,0.7193333333333334,0.6946666666666668,0.674,0.7284166666666667,0.029222446661580012
13,13,32752,223.99318718910217,0.7266666666666667,0.7266666666666668,0.734,0.7053333333333335,0.6846666666666668,0.7340000000000001,0.030073521022099592
14,14,32767,225.24798274040222,0.7266666666666667,0.7226666666666667,0.7133333333333334,0.6946666666666668,0.6973333333333332,0.7254999999999999,0.03377457952694928
15,15,32768,224.71436548233032,0.7266666666666667,0.7286666666666666,0.7146666666666667,0.7100000000000001,0.6766666666666666,0.7254166666666667,0.02591720256680664
