,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.005999326705932617,0.4766666666666667,0.48200000000000004,0.4853333333333333,0.48,0.49000000000000005,0.47325,0.031181480436666607
2,2,121,0.6180107593536377,0.6766666666666666,0.6666666666666666,0.6613333333333333,0.6326666666666666,0.6046666666666667,0.6703333333333334,0.028193773938387328
3,3,576,3.8110129833221436,0.65,0.6526666666666667,0.638,0.6233333333333333,0.61,0.6543333333333333,0.027181999762914997
4,4,1941,12.641441345214844,0.6466666666666666,0.6446666666666667,0.6373333333333334,0.6126666666666667,0.5853333333333334,0.6473333333333333,0.030101218137034477
5,5,4944,32.636805295944214,0.65,0.6373333333333334,0.6193333333333334,0.5653333333333334,0.5433333333333333,0.6535833333333335,0.02819833032882148
6,6,9949,66.45309567451477,0.6566666666666666,0.6279999999999999,0.572,0.5206666666666667,0.5066666666666666,0.6530833333333333,0.03205691553055805
7,7,16384,110.5427474975586,0.6633333333333333,0.6073333333333333,0.5486666666666666,0.5013333333333334,0.4753333333333334,0.6606666666666666,0.026459612829954834
8,8,22819,154.33930039405823,0.66,0.6026666666666667,0.5413333333333333,0.48200000000000004,0.4726666666666667,0.6605833333333334,0.026954308045695076
9,9,27824,190.1273102760315,0.6566666666666666,0.5860000000000001,0.5313333333333332,0.48,0.4600000000000001,0.6551666666666667,0.03183682354339599
10,10,30827,210.82670736312866,0.6566666666666666,0.58,0.5233333333333333,0.4826666666666667,0.4646666666666667,0.652,0.023067533702394612
11,11,32192,221.511976480484,0.6566666666666666,0.58,0.5346666666666666,0.48533333333333334,0.46066666666666667,0.653,0.025359087785906915
12,12,32647,223.84861373901367,0.6566666666666666,0.584,0.5359999999999999,0.49066666666666664,0.45999999999999996,0.6549166666666667,0.028021445160606704
13,13,32752,224.90493249893188,0.6566666666666666,0.5853333333333334,0.5253333333333332,0.48533333333333334,0.46066666666666667,0.6545833333333333,0.033147921838664676
14,14,32767,225.76948928833008,0.6566666666666666,0.5886666666666667,0.5226666666666666,0.4739999999999999,0.45066666666666666,0.6560000000000001,0.029862648539233386
15,15,32768,226.16647267341614,0.6566666666666666,0.5826666666666667,0.5273333333333332,0.4706666666666666,0.4613333333333333,0.6541666666666667,0.02595401917066239
