,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0015072822570800781,0.48333333333333334,0.4886666666666667,0.48533333333333334,0.49333333333333335,0.5026666666666666,0.4926666666666666,0.027870733355578894
2,2,121,0.0057680606842041016,0.65,0.6586666666666667,0.6613333333333332,0.6539999999999999,0.6413333333333334,0.6472500000000001,0.02489714954679663
3,3,576,0.028774499893188477,0.67,0.666,0.6666666666666667,0.6533333333333333,0.6359999999999999,0.6696666666666666,0.027285018274177904
4,4,1941,0.13083672523498535,0.6733333333333333,0.6599999999999999,0.6633333333333333,0.6473333333333333,0.646,0.6772500000000001,0.024582768355089712
5,5,4944,0.46442198753356934,0.65,0.6559999999999999,0.6486666666666666,0.6399999999999999,0.6466666666666666,0.6424166666666666,0.030111943920422456
6,6,9949,1.4753329753875732,0.6533333333333333,0.65,0.6506666666666666,0.64,0.648,0.6515833333333333,0.03237036110051566
7,7,16384,5.051692247390747,0.6333333333333333,0.6380000000000001,0.6466666666666667,0.6333333333333332,0.6379999999999999,0.6324166666666666,0.02877462713340812
8,8,22819,9.037608623504639,0.63,0.6446666666666666,0.6406666666666667,0.6426666666666666,0.632,0.6334166666666667,0.02842497434768704
9,9,27824,16.215419054031372,0.6266666666666667,0.6393333333333333,0.6433333333333333,0.632,0.6326666666666666,0.62825,0.03438234769955847
10,10,30827,27.014256477355957,0.63,0.6326666666666667,0.638,0.634,0.6226666666666667,0.63625,0.026513230449888382
11,11,32192,35.53006982803345,0.6333333333333333,0.638,0.6366666666666666,0.6220000000000001,0.6353333333333333,0.6326666666666667,0.03016574584229971
12,12,32647,38.01169180870056,0.6333333333333333,0.638,0.6286666666666667,0.6293333333333333,0.6346666666666667,0.6284166666666666,0.031199292192825998
13,13,32752,42.91584229469299,0.6333333333333333,0.6326666666666666,0.6413333333333333,0.632,0.6333333333333334,0.6395833333333332,0.030359535386578124
14,14,32767,40.641505002975464,0.6333333333333333,0.6346666666666667,0.6306666666666667,0.6386666666666667,0.6346666666666667,0.63,0.032188679859713264
15,15,32768,69.79727077484131,0.6333333333333333,0.6453333333333333,0.6353333333333333,0.6453333333333333,0.6206666666666667,0.6354166666666667,0.03486332440959825
