,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.001997709274291992,0.49333333333333335,0.4953333333333333,0.502,0.4966666666666667,0.5106666666666666,0.4883333333333333,0.030057814661452388
2,2,121,0.3395078182220459,0.7266666666666667,0.7393333333333333,0.738,0.72,0.712,0.7235833333333334,0.02997232519805192
3,3,576,1.611893653869629,0.6866666666666666,0.6960000000000001,0.6859999999999999,0.6740000000000002,0.6546666666666666,0.6905833333333333,0.031233995901901495
4,4,1941,5.17338228225708,0.6866666666666666,0.6873333333333334,0.6893333333333334,0.6806666666666666,0.664,0.6916666666666665,0.024678488158268078
5,5,4944,13.477043628692627,0.6666666666666666,0.6606666666666666,0.6726666666666667,0.656,0.648,0.6698333333333334,0.03276134239550565
6,6,9949,27.720176696777344,0.6633333333333333,0.6679999999999999,0.6719999999999999,0.656,0.6566666666666666,0.6614999999999999,0.03021405118299909
7,7,16384,47.89984083175659,0.6566666666666666,0.6599999999999999,0.6573333333333332,0.6626666666666666,0.6606666666666666,0.6535000000000001,0.030246211884024966
8,8,22819,69.3468132019043,0.6566666666666666,0.6493333333333332,0.6466666666666667,0.6573333333333334,0.6393333333333334,0.6502499999999999,0.026632921356847052
9,9,27824,91.12281107902527,0.6566666666666666,0.6513333333333333,0.6473333333333333,0.6586666666666667,0.6546666666666667,0.6555833333333334,0.03096380054909999
10,10,30827,110.62029099464417,0.6566666666666666,0.6586666666666667,0.6566666666666667,0.6493333333333332,0.6433333333333333,0.6588333333333333,0.03338163167571851
11,11,32192,120.32427215576172,0.6533333333333333,0.6573333333333334,0.6506666666666667,0.6533333333333333,0.6386666666666667,0.6657500000000001,0.03041712328424383
12,12,32647,125.0372543334961,0.6533333333333333,0.654,0.6559999999999999,0.652,0.6406666666666666,0.6455833333333334,0.033503834772223386
13,13,32752,129.70847606658936,0.6533333333333333,0.654,0.6473333333333333,0.65,0.6453333333333333,0.6544166666666666,0.027718951599542473
14,14,32767,127.77319431304932,0.6533333333333333,0.6613333333333334,0.6553333333333333,0.6539999999999999,0.6413333333333333,0.6614166666666667,0.035057591506294644
15,15,32768,150.93779397010803,0.6533333333333333,0.646,0.6553333333333333,0.654,0.6353333333333333,0.6475,0.027131367660166175
