,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.001997709274291992,0.44333333333333336,0.446,0.4453333333333333,0.44799999999999995,0.4613333333333333,0.43599999999999994,0.027673192001566347
2,2,121,0.1609668731689453,0.5033333333333333,0.4973333333333333,0.5086666666666668,0.5086666666666666,0.5006666666666667,0.50475,0.029580516297800556
3,3,576,1.513615369796753,0.5433333333333333,0.5326666666666666,0.5193333333333333,0.528,0.5326666666666666,0.5388333333333334,0.035827906565816664
4,4,1941,5.055848121643066,0.5266666666666666,0.5073333333333334,0.5213333333333334,0.5133333333333334,0.4866666666666667,0.5274166666666668,0.02700424349369311
5,5,4944,13.251084327697754,0.53,0.5233333333333332,0.5266666666666666,0.484,0.5286666666666667,0.525,0.029837522983280258
6,6,9949,27.55769181251526,0.5333333333333333,0.5313333333333332,0.5166666666666668,0.5166666666666666,0.4993333333333334,0.53025,0.030101794889267907
7,7,16384,48.236814737319946,0.5166666666666667,0.508,0.5039999999999999,0.5073333333333332,0.5146666666666666,0.5186666666666667,0.03660259553638239
8,8,22819,70.40846967697144,0.5033333333333333,0.5146666666666666,0.5086666666666666,0.5073333333333333,0.5133333333333334,0.5157499999999999,0.03189925547720512
9,9,27824,91.33457541465759,0.5,0.5113333333333333,0.512,0.49333333333333335,0.5073333333333333,0.49766666666666665,0.03507095981324466
10,10,30827,111.685067653656,0.5033333333333333,0.5033333333333333,0.5153333333333333,0.5086666666666667,0.49866666666666665,0.49500000000000005,0.032296370625126844
11,11,32192,127.18232202529907,0.5,0.51,0.5113333333333333,0.504,0.5133333333333333,0.5119166666666666,0.03163386458984879
12,12,32647,127.51031732559204,0.5,0.5126666666666667,0.5126666666666666,0.49000000000000005,0.5086666666666666,0.4976666666666667,0.03221197154958248
13,13,32752,135.79027485847473,0.5,0.516,0.5106666666666667,0.492,0.49733333333333335,0.49708333333333327,0.0304964706519004
14,14,32767,133.83644485473633,0.5,0.51,0.51,0.49399999999999994,0.49399999999999994,0.506,0.03164648479689332
15,15,32768,162.31063890457153,0.5,0.5086666666666667,0.5033333333333333,0.5013333333333334,0.4953333333333334,0.49633333333333335,0.033938670176265506
