,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.001310586929321289,0.5,0.4993333333333333,0.4926666666666666,0.4966666666666667,0.508,0.5048333333333332,0.029992591677871983
2,2,121,0.3527944087982178,0.7333333333333333,0.7313333333333333,0.734,0.7193333333333334,0.7046666666666667,0.7294999999999999,0.027142115695804638
3,3,576,1.6264324188232422,0.6933333333333334,0.6873333333333334,0.682,0.6613333333333333,0.6679999999999999,0.6951666666666667,0.03186734657573138
4,4,1941,5.473069667816162,0.6833333333333333,0.6886666666666666,0.6826666666666668,0.6633333333333333,0.6913333333333334,0.6849166666666667,0.023450450125980755
5,5,4944,13.746819734573364,0.66,0.662,0.6586666666666667,0.6633333333333333,0.6606666666666666,0.6558333333333333,0.02892759159618297
6,6,9949,28.54660701751709,0.6566666666666666,0.6566666666666667,0.658,0.6653333333333333,0.6526666666666667,0.66125,0.031349840509961126
7,7,16384,49.856449365615845,0.6466666666666666,0.6466666666666666,0.6526666666666666,0.6546666666666667,0.654,0.64875,0.03158157426939534
8,8,22819,182.97322487831116,0.64,0.6486666666666666,0.6453333333333332,0.6506666666666667,0.634,0.6405000000000001,0.029463253950189103
9,9,27824,93.87520909309387,0.6266666666666667,0.6439999999999999,0.6439999999999999,0.6526666666666666,0.6399999999999999,0.6207499999999999,0.02664699795474155
10,10,30827,113.67743825912476,0.6333333333333333,0.6373333333333333,0.6466666666666666,0.6413333333333333,0.6426666666666666,0.63925,0.028112991263431537
11,11,32192,120.62637257575989,0.63,0.636,0.6380000000000001,0.6439999999999999,0.6286666666666666,0.6256666666666666,0.0316047640571973
12,12,32647,129.35621452331543,0.63,0.6366666666666666,0.6406666666666666,0.6479999999999999,0.6373333333333333,0.6255000000000002,0.03216321224974618
13,13,32752,133.6541187763214,0.63,0.634,0.6499999999999999,0.6460000000000001,0.6493333333333332,0.6315,0.03015193010221549
14,14,32767,128.1680052280426,0.63,0.6406666666666666,0.642,0.65,0.6313333333333333,0.6346666666666666,0.02611991577321796
15,15,32768,152.156587600708,0.63,0.632,0.6539999999999999,0.6526666666666667,0.6473333333333333,0.6336666666666667,0.029519767388424097
