,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability,order9_stability,order10_stability,order11_stability,order12_stability,order13_stability,order14_stability,order15_stability
1,1,16,0.0020608901977539062,0.49333333333333335,,,,,0.9801667995422552,,,,,,,,,,,,,,
2,2,121,0.0039975643157958984,0.7466666666666667,,,,,0.9849096737823838,,,,,,,,,,,,,,
3,3,576,0.028599262237548828,0.7733333333333333,,,,,0.9692347184549083,,,,,,,,,,,,,,
4,4,1941,0.12626218795776367,0.7566666666666667,,,,,0.9715825463238258,,,,,,,,,,,,,,
5,5,4944,0.480133056640625,0.7666666666666667,,,,,0.9614064872196889,,,,,,,,,,,,,,
6,6,9949,1.4389691352844238,0.7633333333333333,,,,,0.96023437254047,,,,,,,,,,,,,,
7,7,16384,4.7480504512786865,0.7633333333333333,,,,,0.9594528398795062,,,,,,,,,,,,,,
8,8,22819,8.888458728790283,0.77,,,,,0.9639962321622728,,,,,,,,,,,,,,
9,9,27824,16.119222402572632,0.7733333333333333,,,,,0.9642930673615241,,,,,,,,,,,,,,
10,10,30827,71.0663812160492,0.7766666666666666,,,,,0.9674204310796708,,,,,,,,,,,,,,
11,11,32192,36.81859731674194,0.7766666666666666,,,,,0.9596728791941793,,,,,,,,,,,,,,
12,12,32647,38.11299777030945,0.7766666666666666,,,,,0.9556420347436169,,,,,,,,,,,,,,
13,13,32752,44.95409941673279,0.7766666666666666,,,,,0.9639510902005082,,,,,,,,,,,,,,
14,14,32767,42.61876583099365,0.7766666666666666,,,,,0.9624557402232871,,,,,,,,,,,,,,
15,15,32768,63.329246520996094,0.7766666666666666,,,,,0.9661024710387076,,,,,,,,,,,,,,
